geneID,Cond WT Rep 1,Cond WT Rep 2,Cond WT Rep 3,Cond Mt Rep 1,Cond Mt Rep 2,Cond Mt Rep 3
Solyc00g011160.1.1,0,0,0,0,0,0
Solyc00g011170.1.1,0,0,0,0,0,0
Solyc00g011180.1.1,0,0,0,0,0,0
Solyc00g011310.1.1,0,0,0,0,0,0
Solyc00g011550.1.1,0,0,0,4,3,0
Solyc00g011560.1.1,0,0,0,0,2,0
Solyc00g011660.1.1,0,0,0,1,2,1
Solyc00g011670.1.1,0,0,0,0,0,0
Solyc00g011870.1.1,0,1,1,0,0,0
Solyc00g011880.2.1,95,121,134,74,66,51
Solyc00g011890.2.1,1439,846,869,1231,1137,946
Solyc00g012090.1.1,0,0,0,0,0,0
Solyc00g012310.1.1,0,0,0,0,0,0
Solyc00g012430.1.1,6,11,27,4,6,1
Solyc00g012440.1.1,18,40,66,31,36,30
Solyc00g012540.1.1,0,0,0,0,0,0
Solyc00g012640.1.1,0,0,0,0,0,0
Solyc00g012650.1.1,0,0,0,0,0,0
Solyc00g012660.1.1,0,0,0,0,0,0
Solyc00g012670.1.1,0,0,0,0,0,0
Solyc00g012680.1.1,0,0,0,0,0,0
Solyc00g012690.1.1,0,0,0,0,0,0
Solyc00g012700.1.1,0,0,0,0,0,0
Solyc00g012800.1.1,0,0,0,0,0,0
Solyc00g012900.1.1,0,0,0,0,0,0
Solyc00g013000.1.1,0,0,0,0,0,0
Solyc00g013100.1.1,0,0,0,0,0,0
Solyc00g013110.1.1,0,0,0,0,0,3
Solyc00g013120.2.1,13,11,3,40,45,47
Solyc00g013130.2.1,0,0,1,2,4,0
Solyc00g013140.1.1,4,4,13,19,13,18
Solyc00g013150.1.1,1,0,0,5,1,5
Solyc00g013160.1.1,2,2,0,11,9,12
Solyc00g013170.1.1,1,1,0,7,9,6
Solyc00g013180.1.1,3,8,9,6,5,5
Solyc00g013190.1.1,0,0,1,0,1,0
Solyc00g013320.1.1,0,0,0,0,0,0
Solyc00g013330.1.1,0,0,0,0,0,0
Solyc00g013770.1.1,0,0,0,0,0,0
Solyc00g014170.1.1,0,0,0,0,0,0
Solyc00g014180.1.1,0,0,0,0,0,0
Solyc00g014190.1.1,0,0,0,0,0,0
Solyc00g014290.1.1,0,0,0,0,0,0
Solyc00g014390.1.1,0,0,0,0,0,0
Solyc00g014790.2.1,2,2,0,0,4,1
Solyc00g014800.1.1,2,0,1,0,0,0
Solyc00g014810.1.1,0,0,0,0,0,0
Solyc00g014820.2.1,0,0,0,0,6,0
Solyc00g014830.2.1,8,9,4,10,15,8
Solyc00g014840.1.1,0,0,1,0,3,0
Solyc00g014850.1.1,1,0,0,3,4,4
Solyc00g014860.1.1,0,0,0,0,0,0
Solyc00g014960.1.1,0,0,0,0,0,0
Solyc00g014970.1.1,0,0,0,0,0,0
Solyc00g014980.1.1,0,0,0,0,0,0
Solyc00g014990.1.1,0,0,0,0,0,0
Solyc00g015000.1.1,0,0,0,0,0,0
Solyc00g015600.1.1,2,0,0,4,3,1
Solyc00g015610.1.1,0,0,0,0,0,0
Solyc00g015720.1.1,0,0,0,0,0,0
Solyc00g015730.1.1,0,0,0,0,0,0
Solyc00g015740.1.1,0,0,0,0,0,0
Solyc00g015750.1.1,0,0,0,0,0,0
Solyc00g015760.1.1,0,0,0,0,0,0
Solyc00g015770.1.1,0,0,0,0,0,0
Solyc00g016470.1.1,0,0,0,0,0,0
Solyc00g016480.1.1,0,0,0,0,0,0
Solyc00g016490.1.1,0,0,0,0,0,0
Solyc00g016590.1.1,0,0,0,0,0,0
Solyc00g016790.1.1,0,0,0,0,0,0
Solyc00g016890.1.1,0,0,0,0,0,0
