Taxonomy,Sample,Abundance,basin,Phylum,Class,Order,Family,Core,Depth
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales,Med_1216,40,Mediterranean,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,1,12-16 cm
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales,CS_2_3235,60,Caspian,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,2,32-35 cm
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales,Med_1620,571,Mediterranean,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,1,16-20 cm
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales,CS_2_48,121,Caspian,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,2,4-8 cm
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales,Med_2428,623,Mediterranean,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,1,24-28 cm
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales,CS_2_812,216,Caspian,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,2,8-12 cm
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales,Med_48,121,Mediterranean,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,1,4-8 cm
Bacteria;Acidobacteriota;Thermoanaerobaculia;Thermoanaerobaculales,CS_48,190,Caspian,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,1,4-8 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,CS_2_04,189,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,2,0-4 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,CS,72,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,,
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,CS_2_1216,81,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,2,12-16 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,Med_04,66,Mediterranean,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,1,0-4 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,CS_2_2024,8,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,2,20-24 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,Med_1216,10,Mediterranean,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,1,12-16 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,CS_2_3235,16,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,2,32-35 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,Med_1620,100,Mediterranean,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,1,16-20 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,CS_2_48,6,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,2,4-8 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,Med_2428,156,Mediterranean,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,1,24-28 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,CS_2_812,16,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,2,8-12 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,Med_48,85,Mediterranean,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,1,4-8 cm
Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales,CS_48,8,Caspian,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,1,4-8 cm
Bacteria;NB1-j;uncultured bacterium;(uncultured bacterium),CS_2_04,180,Caspian,Bacteria,NB1-j,uncultured bacterium,(uncultured bacterium),2,0-4 cm
Bacteria;NB1-j;uncultured bacterium;(uncultured bacterium),CS,175,Caspian,Bacteria,NB1-j,uncultured bacterium,(uncultured bacterium),,
Bacteria;NB1-j;uncultured bacterium;(uncultured bacterium),CS_2_1216,335,Caspian,Bacteria,NB1-j,uncultured bacterium,(uncultured bacterium),2,12-16 cm
Bacteria;NB1-j;uncultured bacterium;(uncultured bacterium),Med_04,416,Mediterranean,Bacteria,NB1-j,uncultured bacterium,(uncultured bacterium),1,0-4 cm
Bacteria;NB1-j;uncultured bacterium;(uncultured bacterium),CS_2_2024,103,Caspian,Bacteria,NB1-j,uncultured bacterium,(uncultured bacterium),2,20-24 cm
Bacteria;NB1-j;uncultured bacterium;(uncultured bacterium),Med_1216,528,Mediterranean,Bacteria,NB1-j,uncultured bacterium,(uncultured bacterium),1,12-16 cm
Bacteria;NB1-j;uncultured bacterium;(uncultured bacterium),CS_2_3235,96,Caspian,Bacteria,NB1-j,uncultured bacterium,(uncultured bacterium),2,32-35 cm
Bacteria;NB1-j;uncultured bacterium;(uncultured bacterium),Med_1620,354,Mediterranean,Bacteria,NB1-j,uncultured bacterium,(uncultured bacterium),1,16-20 cm
Bacteria;NB1-j;uncultured bacterium;(uncultured bacterium),CS_2_48,119,Caspian,Bacteria,NB1-j,uncultured bacterium,(uncultured bacterium),2,4-8 cm
Bacteria;NB1-j;uncultured bacterium;(uncultured bacterium),Med_2428,334,Mediterranean,Bacteria,NB1-j,uncultured bacterium,(uncultured bacterium),1,24-28 cm
